Datetime,FCU_CTRL,FAN_CTRL,RM_TEMP,RMCLGSPT,RMHTGSPT,FCU_MAT,FCU_DAT,FCU_RAT,FCU_CVLV,FCU_CVLV_DM,FCU_CLG_GPM,FCU_CLG_EWT,FCU_CLG_RWT,FCU_HVLV,FCU_HVLV_DM,FCU_HTG_GPM,FCU_HTG_EWT,FCU_HTG_RWT,FCU_DA_CFM,FCU_OA_CFM,FCU_DMPR,FCU_DMPR_DM,FCU_SPD,FCU_OAT,FCU_WAT,FCU_MA_HUMD,FCU_OA_HUMD,FCU_DA_HUMD,FCU_RA_HUMD
2018-01-01 13:00:00,1,1,71.92,72.0,68.0,67.83,65.61,71.92,0.13,0.13,0.08,45.0,67.77,0.0,0.0,0.0,120.0,65.6,397.93,41.96,0.3,0.3,9.75,33.07,2.63,18.86,45.01,54.88,16.9
2018-01-01 13:01:00,1,1,71.93,72.0,68.0,67.84,65.65,71.93,0.13,0.13,0.08,45.0,67.78,0.0,0.0,0.0,120.0,65.64,397.93,41.96,0.3,0.3,9.75,33.09,2.63,18.82,45.0,54.81,16.86
2018-01-01 13:02:00,1,1,71.93,72.0,68.0,67.84,65.69,71.93,0.13,0.13,0.08,45.0,67.78,0.0,0.0,0.0,120.0,65.68,397.93,41.96,0.3,0.3,9.75,33.1,2.63,18.78,44.99,54.75,16.82
2018-01-01 13:03:00,1,1,71.93,72.0,68.0,67.84,65.72,71.93,0.13,0.13,0.08,45.0,67.79,0.0,0.0,0.0,120.0,65.72,397.93,41.96,0.3,0.3,9.75,33.11,2.63,18.74,44.99,54.68,16.78
2018-01-01 13:04:00,1,1,71.93,72.0,68.0,67.85,65.76,71.93,0.13,0.13,0.08,45.0,67.8,0.0,0.0,0.0,120.0,65.75,397.93,41.96,0.3,0.3,9.75,33.12,2.63,18.7,44.99,54.62,16.75
2018-01-01 13:05:00,1,1,71.94,72.0,68.0,67.85,65.79,71.94,0.13,0.13,0.08,45.0,67.81,0.0,0.0,0.0,120.0,65.78,397.93,41.96,0.3,0.3,9.75,33.13,2.63,18.66,44.98,54.57,16.71
2018-01-01 13:06:00,1,1,71.94,72.0,68.0,67.86,65.82,71.94,0.13,0.13,0.08,45.0,67.82,0.0,0.0,0.0,120.0,65.81,397.93,41.96,0.3,0.3,9.75,33.14,2.63,18.63,44.98,54.51,16.68
2018-01-01 13:07:00,1,1,71.95,72.0,68.0,67.86,65.84,71.95,0.13,0.13,0.08,45.0,67.83,0.0,0.0,0.0,120.0,65.84,397.93,41.96,0.3,0.3,9.75,33.15,2.63,18.59,44.98,54.47,16.64
2018-01-01 13:08:00,1,1,71.95,72.0,68.0,67.87,65.87,71.95,0.13,0.13,0.07,45.0,67.84,0.0,0.0,0.0,120.0,65.86,397.93,41.96,0.3,0.3,9.75,33.15,2.63,18.56,44.98,54.43,16.62
2018-01-01 13:09:00,1,1,71.96,72.0,68.0,67.87,65.89,71.96,0.13,0.13,0.07,45.0,67.85,0.0,0.0,0.0,120.0,65.89,397.93,41.96,0.3,0.3,9.75,33.16,2.63,18.53,44.98,54.39,16.59
2018-01-01 13:10:00,1,1,71.96,72.0,68.0,67.88,65.91,71.96,0.13,0.13,0.07,45.0,67.86,0.0,0.0,0.0,120.0,65.91,397.93,41.96,0.3,0.3,9.75,33.17,2.63,18.51,44.98,54.36,16.56
2018-01-01 13:11:00,1,1,71.97,72.0,68.0,67.88,65.93,71.97,0.13,0.13,0.07,45.0,67.86,0.0,0.0,0.0,120.0,65.92,397.93,41.96,0.3,0.3,9.75,33.18,2.63,18.49,44.98,54.33,16.54
2018-01-01 13:12:00,1,1,71.97,72.0,68.0,67.89,65.94,71.97,0.13,0.13,0.07,45.0,67.87,0.0,0.0,0.0,120.0,65.94,397.93,41.96,0.3,0.3,9.75,33.18,2.63,18.46,44.98,54.3,16.52
2018-01-01 13:13:00,1,1,71.97,72.0,68.0,67.89,65.96,71.97,0.13,0.13,0.07,45.0,67.87,0.0,0.0,0.0,120.0,65.95,397.93,41.96,0.3,0.3,9.75,33.19,2.63,18.44,44.98,54.27,16.5
2018-01-01 13:14:00,1,1,71.97,72.0,68.0,67.89,65.97,71.97,0.13,0.13,0.07,45.0,67.88,0.0,0.0,0.0,120.0,65.97,397.93,41.96,0.3,0.3,9.75,33.19,2.63,18.43,44.98,54.25,16.48
2018-01-01 13:15:00,1,1,71.98,72.0,68.0,67.89,65.98,71.98,0.13,0.13,0.07,45.0,67.88,0.0,0.0,0.0,120.0,65.98,397.93,41.96,0.3,0.3,9.75,33.2,2.63,18.41,44.98,54.23,16.47
2018-01-01 13:16:00,1,1,71.98,72.0,68.0,67.9,65.99,71.98,0.13,0.13,0.07,45.0,67.89,0.0,0.0,0.0,120.0,65.99,397.93,41.96,0.3,0.3,9.75,33.2,2.63,18.4,44.98,54.22,16.46
2018-01-01 13:17:00,1,1,71.98,72.0,68.0,67.9,66.0,71.98,0.13,0.13,0.07,45.0,67.89,0.0,0.0,0.0,120.0,66.0,397.93,41.96,0.3,0.3,9.75,33.2,2.63,18.39,44.98,54.2,16.45
2018-01-01 13:18:00,1,1,71.98,72.0,68.0,67.9,66.01,71.98,0.13,0.13,0.07,45.0,67.89,0.0,0.0,0.0,120.0,66.01,397.93,41.96,0.3,0.3,9.75,33.21,2.63,18.38,44.98,54.18,16.44
2018-01-01 13:19:00,1,1,71.98,72.0,68.0,67.9,66.02,71.98,0.13,0.13,0.07,45.0,67.89,0.0,0.0,0.0,120.0,66.02,397.93,41.96,0.3,0.3,9.75,33.21,2.63,18.37,44.98,54.17,16.43
2018-01-01 13:20:00,1,1,71.98,72.0,68.0,67.9,66.03,71.98,0.13,0.13,0.07,45.0,67.89,0.0,0.0,0.0,120.0,66.03,397.93,41.96,0.3,0.3,9.75,33.21,2.63,18.37,44.99,54.15,16.43
2018-01-01 13:21:00,1,1,71.98,72.0,68.0,67.9,66.04,71.98,0.13,0.13,0.07,45.0,67.89,0.0,0.0,0.0,120.0,66.03,397.93,41.96,0.3,0.3,9.75,33.21,2.63,18.37,44.99,54.14,16.42
2018-01-01 13:22:00,1,1,71.98,72.0,68.0,67.9,66.04,71.98,0.13,0.13,0.07,45.0,67.89,0.0,0.0,0.0,120.0,66.04,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.37,44.99,54.12,16.42
2018-01-01 13:23:00,1,1,71.98,72.0,68.0,67.9,66.05,71.98,0.13,0.13,0.07,45.0,67.89,0.0,0.0,0.0,120.0,66.05,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.37,44.99,54.11,16.43
2018-01-01 13:24:00,1,1,71.98,72.0,68.0,67.9,66.06,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.06,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.37,45.0,54.09,16.43
2018-01-01 13:25:00,1,1,71.98,72.0,68.0,67.9,66.07,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.07,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.38,45.0,54.08,16.43
2018-01-01 13:26:00,1,1,71.98,72.0,68.0,67.9,66.08,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.08,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.38,45.0,54.06,16.44
2018-01-01 13:27:00,1,1,71.98,72.0,68.0,67.9,66.09,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.08,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.39,45.0,54.05,16.45
2018-01-01 13:28:00,1,1,71.98,72.0,68.0,67.9,66.09,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.09,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.4,45.01,54.03,16.46
2018-01-01 13:29:00,1,1,71.98,72.0,68.0,67.9,66.1,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.1,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.41,45.01,54.02,16.47
2018-01-01 13:30:00,1,1,71.98,72.0,68.0,67.9,66.11,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.11,397.93,41.96,0.3,0.3,9.75,33.22,2.63,18.43,45.01,54.0,16.48
2018-01-01 13:31:00,1,1,71.98,72.0,68.0,67.9,66.12,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.12,397.93,41.96,0.3,0.3,9.75,33.21,2.63,18.44,45.01,53.99,16.5
2018-01-01 13:32:00,1,1,71.98,72.0,68.0,67.9,66.13,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.13,397.93,41.96,0.3,0.3,9.75,33.21,2.63,18.46,45.02,53.98,16.51
2018-01-01 13:33:00,1,1,71.98,72.0,68.0,67.9,66.14,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.14,397.93,41.96,0.3,0.3,9.75,33.21,2.63,18.48,45.02,53.96,16.53
2018-01-01 13:34:00,1,1,71.98,72.0,68.0,67.9,66.14,71.98,0.13,0.13,0.07,45.0,67.9,0.0,0.0,0.0,120.0,66.14,397.93,41.96,0.3,0.3,9.75,33.21,2.63,18.5,45.02,53.95,16.55
