Datetime,FCU_CTRL,FAN_CTRL,RM_TEMP,RMCLGSPT,RMHTGSPT,FCU_MAT,FCU_DAT,FCU_RAT,FCU_CVLV,FCU_CVLV_DM,FCU_CLG_GPM,FCU_CLG_EWT,FCU_CLG_RWT,FCU_HVLV,FCU_HVLV_DM,FCU_HTG_GPM,FCU_HTG_EWT,FCU_HTG_RWT,FCU_DA_CFM,FCU_OA_CFM,FCU_DMPR,FCU_DMPR_DM,FCU_SPD,FCU_OAT,FCU_WAT,FCU_MA_HUMD,FCU_OA_HUMD,FCU_DA_HUMD,FCU_RA_HUMD
2018-01-28 00:15:00,2,1,54.13,85.0,55.0,38.83,45.0,54.13,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.52,0.0,69.11,100.0,100.0,44.72
2018-01-28 00:16:00,2,1,54.13,85.0,55.0,38.85,45.0,54.13,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.57,0.0,68.85,100.0,100.0,44.72
2018-01-28 00:17:00,2,1,54.12,85.0,55.0,38.87,45.0,54.12,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.62,0.0,68.6,100.0,100.0,44.71
2018-01-28 00:18:00,2,1,54.12,85.0,55.0,38.89,45.0,54.12,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.67,0.0,68.33,100.0,100.0,44.71
2018-01-28 00:19:00,2,1,54.12,85.0,55.0,38.92,45.0,54.12,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.72,0.0,68.06,100.0,100.0,44.71
2018-01-28 00:20:00,2,1,54.12,85.0,55.0,38.94,45.0,54.12,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.77,0.0,67.79,100.0,100.0,44.71
2018-01-28 00:21:00,2,1,54.11,85.0,55.0,38.97,45.0,54.11,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.82,0.0,67.51,100.0,100.0,44.7
2018-01-28 00:22:00,2,1,54.11,85.0,55.0,38.99,45.0,54.11,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.87,0.0,67.22,100.0,100.0,44.7
2018-01-28 00:23:00,2,1,54.11,85.0,55.0,39.02,45.0,54.11,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.93,0.0,66.94,100.0,100.0,44.7
2018-01-28 00:24:00,2,1,54.11,85.0,55.0,39.04,45.0,54.11,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,23.98,0.0,66.64,100.0,100.0,44.69
2018-01-28 00:25:00,2,1,54.11,85.0,55.0,39.07,45.0,54.11,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.04,0.0,66.35,100.0,100.0,44.69
2018-01-28 00:26:00,2,1,54.1,85.0,55.0,39.1,45.0,54.1,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.09,0.0,66.05,100.0,100.0,44.68
2018-01-28 00:27:00,2,1,54.1,85.0,55.0,39.13,45.0,54.1,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.15,0.0,65.75,100.0,100.0,44.68
2018-01-28 00:28:00,2,1,54.1,85.0,55.0,39.15,45.0,54.1,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.21,0.0,65.45,100.0,100.0,44.67
2018-01-28 00:29:00,2,1,54.1,85.0,55.0,39.18,45.0,54.1,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.26,0.0,65.14,100.0,100.0,44.67
2018-01-28 00:30:00,2,1,54.1,85.0,55.0,39.21,45.0,54.1,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.32,0.0,64.83,100.0,100.0,44.66
2018-01-28 00:31:00,2,1,54.1,85.0,55.0,39.24,45.0,54.1,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.38,0.0,64.52,100.0,100.0,44.66
2018-01-28 00:32:00,2,1,54.1,85.0,55.0,39.27,45.0,54.1,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.44,0.0,64.21,100.0,100.0,44.65
2018-01-28 00:33:00,2,1,54.09,85.0,55.0,39.3,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.5,0.0,63.9,100.0,100.0,44.64
2018-01-28 00:34:00,2,1,54.09,85.0,55.0,39.33,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.56,0.0,63.58,100.0,100.0,44.64
2018-01-28 00:35:00,2,1,54.09,85.0,55.0,39.36,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.62,0.0,63.27,100.0,100.0,44.63
2018-01-28 00:36:00,2,1,54.09,85.0,55.0,39.39,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.68,0.0,62.95,98.91,100.0,44.62
2018-01-28 00:37:00,2,1,54.09,85.0,55.0,39.42,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.74,0.0,62.63,97.47,100.0,44.62
2018-01-28 00:38:00,2,1,54.09,85.0,55.0,39.44,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.8,0.0,62.31,96.04,100.0,44.61
2018-01-28 00:39:00,2,1,54.09,85.0,55.0,39.47,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.86,0.0,62.0,94.62,100.0,44.6
2018-01-28 00:40:00,2,1,54.09,85.0,55.0,39.5,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.92,0.0,61.68,93.21,100.0,44.59
2018-01-28 00:41:00,2,1,54.09,85.0,55.0,39.53,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,24.98,0.0,61.36,91.81,100.0,44.58
2018-01-28 00:42:00,2,1,54.09,85.0,55.0,39.56,45.0,54.09,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,25.04,0.0,61.05,90.43,100.0,44.57
2018-01-28 00:43:00,2,1,54.08,85.0,55.0,39.59,45.0,54.08,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,25.1,0.0,60.73,89.05,100.0,44.57
2018-01-28 00:44:00,2,1,54.08,85.0,55.0,39.62,45.0,54.08,0.8,0.0,5.63,45.0,44.99,0.0,0.0,0.0,120.0,45.0,0.0,0.88,0.0,0.0,0.0,25.16,0.0,60.42,87.7,100.0,44.56
2018-01-28 00:45:00,2,1,53.96,85.0,55.0,47.65,45.37,53.96,0.8,0.0,5.63,45.0,45.42,0.0,0.0,0.0,120.0,45.17,399.82,0.88,0.0,0.0,9.75,25.22,1.48,51.6,86.36,100.0,44.75
2018-01-28 00:46:00,2,1,53.42,85.0,55.0,52.51,46.07,53.42,0.8,0.0,5.63,45.0,46.0,0.01,0.01,0.0,120.0,45.98,399.82,0.88,0.0,0.0,9.75,25.28,2.47,46.64,85.03,100.0,45.66
2018-01-28 00:47:00,2,1,52.9,85.0,55.0,52.73,46.18,52.9,0.8,0.0,5.63,45.0,46.02,0.02,0.02,0.0,120.0,46.18,399.82,0.88,0.0,0.0,9.75,25.34,2.6,46.73,83.72,100.0,46.55
2018-01-28 00:48:00,2,1,52.48,85.0,55.0,52.41,46.15,52.48,0.8,0.0,5.63,45.0,45.97,0.03,0.03,0.0,120.0,46.16,399.82,0.88,0.0,0.0,9.75,25.4,2.62,47.38,82.43,100.0,47.3
2018-01-28 00:49:00,2,1,52.14,85.0,55.0,52.08,46.1,52.14,0.8,0.0,5.63,45.0,45.93,0.04,0.04,0.0,120.0,46.11,399.82,0.88,0.0,0.0,9.75,25.45,2.62,47.99,81.15,100.0,47.93
2018-01-28 00:50:00,2,1,51.86,85.0,55.0,51.8,46.05,51.86,0.8,0.0,5.63,45.0,45.89,0.05,0.05,0.0,120.0,46.06,399.82,0.88,0.0,0.0,9.75,25.51,2.62,48.52,79.9,100.0,48.46
2018-01-28 00:51:00,2,1,51.63,85.0,55.0,51.57,46.01,51.63,0.8,0.0,5.63,45.0,45.86,0.05,0.06,0.0,120.0,46.02,399.82,0.88,0.0,0.0,9.75,25.57,2.62,48.96,78.66,100.0,48.9
