TIMESTAMP,LOAD,TEMP
112009 0:00,205,28
112009 1:00,202.8,27
112009 2:00,202.8,27
112009 3:00,203,23
112009 4:00,205.7,21
112009 5:00,211.4,21
112009 6:00,220.2,19
112009 7:00,230.7,21
112009 8:00,237.2,21
112009 9:00,235.1,28
112009 10:00,229.9,32
112009 11:00,220.5,34
112009 12:00,207.3,36
112009 13:00,191.9,39
112009 14:00,177.3,41
112009 15:00,167.5,43
112009 16:00,164.5,43
112009 17:00,175.4,41
112009 18:00,209.8,36
112009 19:00,227.3,30
112009 20:00,232.7,32
112009 21:00,234.5,28
112009 22:00,232.2,30
112009 23:00,224.6,28
122009 0:00,216.1,28
122009 1:00,210.7,25
122009 2:00,209.1,25
122009 3:00,210.2,23
122009 4:00,210.4,23
122009 5:00,213.4,28
122009 6:00,219.7,28
122009 7:00,229.6,30
122009 8:00,233.7,32
122009 9:00,224.3,32
122009 10:00,208.5,34
122009 11:00,194.3,39
122009 12:00,186.2,39
122009 13:00,180.7,41
122009 14:00,176.1,43
122009 15:00,173.6,43
122009 16:00,175.3,43
122009 17:00,179.2,43
122009 18:00,193.2,43
122009 19:00,197,45
122009 20:00,194.2,45
122009 21:00,191.9,45
122009 22:00,186.2,45
122009 23:00,177.7,45
132009 0:00,168.3,45
132009 1:00,162.2,45
132009 2:00,159.2,43
132009 3:00,158.9,43
132009 4:00,161.5,43
132009 5:00,166.9,43
132009 6:00,175,43
132009 7:00,184.6,41
132009 8:00,193.5,41
132009 9:00,193,41
132009 10:00,179.7,43
132009 11:00,162.3,43
132009 12:00,147.2,45
132009 13:00,134.8,45
132009 14:00,123.5,46
132009 15:00,116.2,46
132009 16:00,114.6,45
132009 17:00,120.8,44
132009 18:00,147,43
132009 19:00,160.5,41
132009 20:00,167,41
132009 21:00,169.9,43
132009 22:00,170.1,43
132009 23:00,165.5,43
142009 0:00,159.1,43
142009 1:00,152.5,43
142009 2:00,149.6,43
142009 3:00,150.7,45
142009 4:00,153,45
142009 5:00,157.3,45
142009 6:00,161.9,45
142009 7:00,166.2,45
142009 8:00,173.1,46
142009 9:00,181.1,48
142009 10:00,178.2,50
142009 11:00,164.7,52
142009 12:00,152.4,54
142009 13:00,146.3,54
142009 14:00,141.4,54
142009 15:00,137.5,54
142009 16:00,135.3,55
142009 17:00,137.7,55
142009 18:00,151.2,55
142009 19:00,156.1,55
142009 20:00,153.7,54
142009 21:00,148.7,55
142009 22:00,138.3,55
142009 23:00,127.3,55
152009 0:00,115,55
152009 1:00,105.8,55
152009 2:00,101.4,54
152009 3:00,99.3,54
152009 4:00,99.4,55
152009 5:00,103.4,55
152009 6:00,114.9,55
152009 7:00,136.6,55
152009 8:00,137.2,55
152009 9:00,128,57
152009 10:00,125.5,59
152009 11:00,121,61
152009 12:00,116.9,63
152009 13:00,112.1,63
152009 14:00,107.5,64
152009 15:00,105.1,64
152009 16:00,106.5,66
152009 17:00,114.2,64
152009 18:00,134,59
152009 19:00,144.5,59
152009 20:00,143.4,59
152009 21:00,140.1,61
