TIMESTAMP,TARGETVAR,U10,V10,U100,V100
20120101 1:00,0,2.12460013902668,-2.681966369,2.86427959225713,-3.666075765
20120101 2:00,0.0548791196734229,2.52169465408196,-1.796960091,3.34485867183801,-2.464761461
20120101 3:00,0.110233998070724,2.67220985488329,-0.82251622,3.50844801694858,-1.214092935
20120101 4:00,0.165116055637106,2.45750434785786,-0.143642299,3.21523251256354,-0.355546415
20120101 5:00,0.156940134185841,2.24589768320187,0.389576113004104,2.95767835330642,0.332700922366452
20120101 6:00,0.168781125506688,1.98603761593604,0.796304214825287,2.65540599936508,0.882647967088621
20120101 7:00,0.114744853861423,1.31978650650661,1.44068077823414,1.94670752158503,1.94132314588317
20120101 8:00,0.0854243022705468,-0.122060579,2.35890673375924,-0.235427168,4.32388465225841
20120101 9:00,0.153181090674978,-1.380190581,2.90362426488939,-3.048145009,6.04152004736207
20120101 10:00,0.139272624528741,-1.710881331,2.01393316048682,-4.213648336,4.87762817559306
20120101 11:00,0.0838267061741016,-2.134980044,1.42577451272237,-5.470852265,3.72132926104901
20120101 12:00,0.147824450015415,-2.340389024,0.61785492198437,-6.095208831,1.56492940916011
20120101 13:00,0.138708762688229,-2.21422187,0.098265095574062,-5.785577787,0.0984039565676574
20120101 14:00,0.222065590133385,-2.139406961,-0.226265599,-5.605006849,-0.861562778
20120101 15:00,0.241048768649564,-2.020322876,-0.455396195,-5.185561504,-1.845935447
20120101 16:00,0.245841549573121,-1.751608973,-1.251390773,-3.655519982,-4.639601352
20120101 17:00,0.239075272726724,-0.978669148,-2.614675228,-1.485272407,-7.574821673
20120101 18:00,0.253453619706413,-0.234061596,-3.575916406,0.0289196280396382,-8.864539693
20120101 19:00,0.302039274946328,0.24758704668064,-3.91194622,1.00592727392492,-9.025076503
20120101 20:00,0.516022917269729,0.371540741458209,-3.726682635,1.24593378716673,-8.7061723
20120101 21:00,0.735457174946228,0.431304130011679,-3.920464086,1.17517715000818,-8.187681792
20120101 22:00,0.618926787176083,0.522941325793667,-4.344653814,1.14291212346388,-7.909996499
20120101 23:00,0.815430868177201,1.03380762498407,-4.925572275,1.67670019418799,-7.585668755
20120102 0:00,0.760454833812776,1.46808824847263,-5.200273454,2.25464040649904,-7.688173678
20120102 1:00,0.439244421492916,2.7925368709901,-5.818453425,4.17629893810235,-8.510670134
20120102 2:00,0.20580771876763,3.69042858115455,-5.504235074,5.44032012034341,-8.013328954
20120102 3:00,0.190019729287579,3.89392367754397,-5.205664206,5.71488209845315,-7.581300609
20120102 4:00,0.803495886379011,3.76136810678831,-5.021700568,5.64909083200043,-7.419089223
20120102 5:00,0.755004215302918,3.59151861398519,-4.586108508,5.79984089922672,-7.160514637
20120102 6:00,0.376750293793242,2.89225757559527,-3.52588589,5.29008809458525,-6.348387005
20120102 7:00,0.567803765754787,2.57120555101276,-3.199826202,5.12276070037875,-6.386932285
20120102 8:00,0.274222340549345,3.20560759453754,-0.550326921,7.32961735461928,-1.311803773
20120102 9:00,0.154684707868872,2.90117568738923,0.764061549006269,7.02759917869857,1.81785880904289
20120102 10:00,0.0952917945117919,2.19988780540976,1.11972458100305,5.65427124668175,2.98492422629667
20120102 11:00,0.0874917749914293,1.78843855673395,1.98498803339951,4.44412637712638,5.08992478622412
20120102 12:00,0.0239521635684953,0.881223366057629,1.86868918227096,2.35590121908797,4.90844076033007
20120102 13:00,0.00195294224692232,0.676106794796584,1.92874167994461,1.64514832481145,4.56849280622174
20120102 14:00,0.0594868901551234,0.207500556895856,1.90505900480571,0.792970109734995,3.93731384890881
20120102 15:00,0.0238670004493282,-0.987121055,1.68430264011805,-0.827981644,2.97582325744652
20120102 16:00,0,-1.045899519,1.51218034044778,-0.978731711,2.51327989941567
20120102 17:00,0,-1.17845509,1.4144893054998,-1.011886365,2.55021912592508
20120102 18:00,0,-1.724081384,1.156517308,-1.658402117,2.62945109003221
20120102 19:00,0,-1.746782032,0.686247044978435,-1.841270756,2.09142322565605
20120102 20:00,0,-1.202777213,0.455340962374101,-2.494521047,2.09142322565605
20120102 21:00,0.030524622607683,-1.878932234,0.27095442022119,-3.803093796,1.52502175251178
20120102 22:00,0.0571374859878579,-1.447619918,-0.495349282,-2.6613304,-0.480938852
20120102 23:00,0.033643453785489,-1.28912075,0.019325996870313,-1.841788797,-0.05961753
20120103 0:00,0.0106104918944591,-0.819703774,0.437156051106727,-1.147095188,0.468238663677403
20120103 1:00,0.191617324331771,-1.849580064,-1.862143769,-2.350273653,-2.541779401
20120103 2:00,0.392726241078393,0.46384668557594,-1.697785765,0.725882070365383,-2.284869902
20120103 3:00,0.279485009672134,3.44700059656014,-1.315160332,4.58600837799841,-1.765584743
20120103 4:00,0.129217177639156,5.07984812507468,-1.653080388,6.99670616709769,-2.341171345
20120103 5:00,0.117658111451169,4.97597840334625,-1.635987156,7.14531726763522,-2.425896818
20120103 6:00,0.187388398935202,4.99613222995027,-1.424294046,7.38986717991217,-2.147669296
