TIMESTAMP,POWER
112009 0:00,28
112009 1:00,27
112009 2:00,27
112009 3:00,23
112009 4:00,21
112009 5:00,21
112009 6:00,19
112009 7:00,21
112009 8:00,21
112009 9:00,28
112009 10:00,32
112009 11:00,34
112009 12:00,36
112009 13:00,39
112009 14:00,41
112009 15:00,43
112009 16:00,43
112009 17:00,41
112009 18:00,36
112009 19:00,30
112009 20:00,32
112009 21:00,28
112009 22:00,30
112009 23:00,28
122009 0:00,28
122009 1:00,25
122009 2:00,25
122009 3:00,23
122009 4:00,23
122009 5:00,28
122009 6:00,28
122009 7:00,30
122009 8:00,32
122009 9:00,32
122009 10:00,34
122009 11:00,39
122009 12:00,39
122009 13:00,41
122009 14:00,43
122009 15:00,43
122009 16:00,43
122009 17:00,43
122009 18:00,43
122009 19:00,45
122009 20:00,45
122009 21:00,45
122009 22:00,45
122009 23:00,45
132009 0:00,45
132009 1:00,45
132009 2:00,43
132009 3:00,43
132009 4:00,43
132009 5:00,43
132009 6:00,43
132009 7:00,41
132009 8:00,41
132009 9:00,41
132009 10:00,43
132009 11:00,43
132009 12:00,45
132009 13:00,45
132009 14:00,46
132009 15:00,46
132009 16:00,45
132009 17:00,44
132009 18:00,43
132009 19:00,41
132009 20:00,41
132009 21:00,43
132009 22:00,43
132009 23:00,43
142009 0:00,43
142009 1:00,43
142009 2:00,43
142009 3:00,45
142009 4:00,45
142009 5:00,45
142009 6:00,45
142009 7:00,45
142009 8:00,46
142009 9:00,48
142009 10:00,50
142009 11:00,52
142009 12:00,54
142009 13:00,54
142009 14:00,54
142009 15:00,54
142009 16:00,55
142009 17:00,55
142009 18:00,55
142009 19:00,55
142009 20:00,54
142009 21:00,55
142009 22:00,55
142009 23:00,55
152009 0:00,55
152009 1:00,55
152009 2:00,54
152009 3:00,54
152009 4:00,55
152009 5:00,55
152009 6:00,55
152009 7:00,55
152009 8:00,55
152009 9:00,57
152009 10:00,59
152009 11:00,61
152009 12:00,63
152009 13:00,63
152009 14:00,64
152009 15:00,64
152009 16:00,66
152009 17:00,64
152009 18:00,59
152009 19:00,59
152009 20:00,59
152009 21:00,61
152009 22:00,61
152009 23:00,61
162009 0:00,61
162009 1:00,61
162009 2:00,61
162009 3:00,61
162009 4:00,61
162009 5:00,61
162009 6:00,61
162009 7:00,61
162009 8:00,61
162009 9:00,61
162009 10:00,62
162009 11:00,63
162009 12:00,61
162009 13:00,61
162009 14:00,64
162009 15:00,53
162009 16:00,50
162009 17:00,48
162009 18:00,48
162009 19:00,48
162009 20:00,49
162009 21:00,56
162009 22:00,61
162009 23:00,64
172009 0:00,64
172009 1:00,64
172009 2:00,64
172009 3:00,66
172009 4:00,66
172009 5:00,66
172009 6:00,68
172009 7:00,68
172009 8:00,61
172009 9:00,59
172009 10:00,61
172009 11:00,61
172009 12:00,61
172009 13:00,61
172009 14:00,59
172009 15:00,55
172009 16:00,52
172009 17:00,54
172009 18:00,52
172009 19:00,51
172009 20:00,49
172009 21:00,48
172009 22:00,47
172009 23:00,46
182009 0:00,45
182009 1:00,44
182009 2:00,43
182009 3:00,42
182009 4:00,40
182009 5:00,39
182009 6:00,39
182009 7:00,41
182009 8:00,43
182009 9:00,43
182009 10:00,45
182009 11:00,46
182009 12:00,50
182009 13:00,54
182009 14:00,54
182009 15:00,54
182009 16:00,54
182009 17:00,52
182009 18:00,48
182009 19:00,45
182009 20:00,43
182009 21:00,41
182009 22:00,39
182009 23:00,36
192009 0:00,36
192009 1:00,34
192009 2:00,30
192009 3:00,28
192009 4:00,28
192009 5:00,29
192009 6:00,30
192009 7:00,31
192009 8:00,31
192009 9:00,32
192009 10:00,37
192009 11:00,41
192009 12:00,45
192009 13:00,46
192009 14:00,48
192009 15:00,50
192009 16:00,50
192009 17:00,48
192009 18:00,41
192009 19:00,37
192009 20:00,34
192009 21:00,34
192009 22:00,32
192009 23:00,32
1102009 0:00,32
1102009 1:00,32
1102009 2:00,30
1102009 3:00,30
1102009 4:00,30
1102009 5:00,30
1102009 6:00,30
1102009 7:00,28
1102009 8:00,30
1102009 9:00,34
1102009 10:00,43
1102009 11:00,52
1102009 12:00,57
1102009 13:00,59
1102009 14:00,60
1102009 15:00,61
1102009 16:00,61
1102009 17:00,61
1102009 18:00,59
1102009 19:00,59
1102009 20:00,54
1102009 21:00,59
1102009 22:00,59
1102009 23:00,55
1112009 0:00,57
1112009 1:00,57
1112009 2:00,57
1112009 3:00,55
1112009 4:00,54
1112009 5:00,54
1112009 6:00,54
1112009 7:00,52
1112009 8:00,52
1112009 9:00,52
1112009 10:00,52
1112009 11:00,52
1112009 12:00,53
1112009 13:00,53
1112009 14:00,53
1112009 15:00,54
1112009 16:00,54
1112009 17:00,52
1112009 18:00,50
1112009 19:00,48
1112009 20:00,46
1112009 21:00,45
1112009 22:00,46
1112009 23:00,45
1122009 0:00,43
1122009 1:00,41
1122009 2:00,36
1122009 3:00,34
1122009 4:00,32
1122009 5:00,32
1122009 6:00,30
1122009 7:00,28
1122009 8:00,28
1122009 9:00,36
1122009 10:00,39
1122009 11:00,43
1122009 12:00,45
1122009 13:00,46
1122009 14:00,46
1122009 15:00,48
1122009 16:00,48
1122009 17:00,46
1122009 18:00,39
1122009 19:00,36
1122009 20:00,36
1122009 21:00,32
1122009 22:00,30
1122009 23:00,30
1132009 0:00,30
1132009 1:00,30
1132009 2:00,30
1132009 3:00,30
1132009 4:00,30
1132009 5:00,31
1132009 6:00,32
1132009 7:00,32
1132009 8:00,32
1132009 9:00,34
1132009 10:00,36
1132009 11:00,37
1132009 12:00,39
1132009 13:00,41
1132009 14:00,41
1132009 15:00,43
1132009 16:00,45
1132009 17:00,43
1132009 18:00,37
1132009 19:00,36
1132009 20:00,32
1132009 21:00,32
1132009 22:00,32
1132009 23:00,33
1142009 0:00,33
1142009 1:00,34
1142009 2:00,30
1142009 3:00,28
1142009 4:00,28
1142009 5:00,32
1142009 6:00,32
1142009 7:00,27
1142009 8:00,23
1142009 9:00,32
1142009 10:00,34
1142009 11:00,36
1142009 12:00,39
1142009 13:00,43
1142009 14:00,45
1142009 15:00,46
1142009 16:00,46
1142009 17:00,45
1142009 18:00,43
1142009 19:00,41
1142009 20:00,39
1142009 21:00,37
1142009 22:00,37
1142009 23:00,37
1152009 0:00,39
1152009 1:00,37
1152009 2:00,36
1152009 3:00,36
1152009 4:00,34
1152009 5:00,32
1152009 6:00,28
1152009 7:00,27
1152009 8:00,27
1152009 9:00,34
1152009 10:00,41
1152009 11:00,45
1152009 12:00,45
1152009 13:00,45
1152009 14:00,45
1152009 15:00,45
1152009 16:00,45
1152009 17:00,43
1152009 18:00,37
1152009 19:00,36
1152009 20:00,32
1152009 21:00,32
1152009 22:00,30
1152009 23:00,28
1162009 0:00,27
1162009 1:00,27
1162009 2:00,23
1162009 3:00,22
1162009 4:00,21
1162009 5:00,19
1162009 6:00,19
1162009 7:00,16
1162009 8:00,16
1162009 9:00,21
1162009 10:00,23
1162009 11:00,25
1162009 12:00,27
1162009 13:00,28
1162009 14:00,30
1162009 15:00,30
1162009 16:00,30
1162009 17:00,30
1162009 18:00,28
1162009 19:00,27
1162009 20:00,25
1162009 21:00,21
1162009 22:00,19
1162009 23:00,18
1172009 0:00,14
1172009 1:00,12
1172009 2:00,12
1172009 3:00,12
1172009 4:00,10
1172009 5:00,10
1172009 6:00,10
1172009 7:00,9
1172009 8:00,13
1172009 9:00,18
1172009 10:00,21
1172009 11:00,26
1172009 12:00,30
1172009 13:00,32
1172009 14:00,34
1172009 15:00,36
1172009 16:00,36
1172009 17:00,36
1172009 18:00,32
1172009 19:00,32
1172009 20:00,34
1172009 21:00,34
1172009 22:00,34
1172009 23:00,34
1182009 0:00,34
1182009 1:00,34
1182009 2:00,34
1182009 3:00,36
1182009 4:00,36
1182009 5:00,36
1182009 6:00,37
1182009 7:00,38
1182009 8:00,39
1182009 9:00,39
1182009 10:00,41
1182009 11:00,40
1182009 12:00,40
1182009 13:00,40
1182009 14:00,41
1182009 15:00,40
1182009 16:00,41
1182009 17:00,41
1182009 18:00,41
1182009 19:00,38
1182009 20:00,35
1182009 21:00,31
1182009 22:00,29
1182009 23:00,34
1192009 0:00,36
1192009 1:00,28
1192009 2:00,28
1192009 3:00,27
1192009 4:00,26
1192009 5:00,27
1192009 6:00,28
1192009 7:00,27
1192009 8:00,27
1192009 9:00,31
1192009 10:00,36
1192009 11:00,43
1192009 12:00,45
1192009 13:00,48
1192009 14:00,50
1192009 15:00,49
1192009 16:00,49
1192009 17:00,47
1192009 18:00,46
1192009 19:00,44
1192009 20:00,41
1192009 21:00,40
1192009 22:00,41
1192009 23:00,40
1202009 0:00,40
1202009 1:00,38
1202009 2:00,35
1202009 3:00,33
1202009 4:00,32
1202009 5:00,32
1202009 6:00,31
1202009 7:00,29
1202009 8:00,28
1202009 9:00,27
1202009 10:00,28
1202009 11:00,28
1202009 12:00,29
1202009 13:00,31
1202009 14:00,30
1202009 15:00,32
1202009 16:00,33
1202009 17:00,32
1202009 18:00,28
1202009 19:00,27
1202009 20:00,29
1202009 21:00,28
1202009 22:00,26
1202009 23:00,26
1212009 0:00,24
1212009 1:00,23
1212009 2:00,22
1212009 3:00,19
1212009 4:00,15
1212009 5:00,13
1212009 6:00,12
1212009 7:00,11
1212009 8:00,13
1212009 9:00,19
1212009 10:00,26
1212009 11:00,30
1212009 12:00,32
1212009 13:00,33
1212009 14:00,35
1212009 15:00,36
1212009 16:00,38
1212009 17:00,37
1212009 18:00,33
1212009 19:00,28
1212009 20:00,27
1212009 21:00,24
1212009 22:00,23
1212009 23:00,22
1222009 0:00,21
1222009 1:00,21
1222009 2:00,19
1222009 3:00,19
1222009 4:00,17
1222009 5:00,17
1222009 6:00,17
1222009 7:00,16
1222009 8:00,17
1222009 9:00,24
1222009 10:00,31
1222009 11:00,36
1222009 12:00,40
1222009 13:00,44
1222009 14:00,44
1222009 15:00,44
1222009 16:00,44
1222009 17:00,44
1222009 18:00,44
1222009 19:00,35
1222009 20:00,32
1222009 21:00,31
1222009 22:00,31
1222009 23:00,32
1232009 0:00,32
1232009 1:00,37
1232009 2:00,37
1232009 3:00,37
1232009 4:00,37
1232009 5:00,32
1232009 6:00,33
1232009 7:00,32
1232009 8:00,29
1232009 9:00,38
1232009 10:00,45
1232009 11:00,50
1232009 12:00,56
1232009 13:00,55
1232009 14:00,60
1232009 15:00,59
1232009 16:00,59
1232009 17:00,58
1232009 18:00,57
1232009 19:00,56
1232009 20:00,54
1232009 21:00,52
1232009 22:00,52
1232009 23:00,54
1242009 0:00,54
1242009 1:00,54
1242009 2:00,54
1242009 3:00,54
1242009 4:00,54
1242009 5:00,53
1242009 6:00,53
1242009 7:00,51
1242009 8:00,54
1242009 9:00,54
1242009 10:00,56
1242009 11:00,57
1242009 12:00,58
1242009 13:00,57
1242009 14:00,59
1242009 15:00,59
1242009 16:00,59
1242009 17:00,58
1242009 18:00,54
1242009 19:00,51
1242009 20:00,51
1242009 21:00,50
1242009 22:00,50
1242009 23:00,47
1252009 0:00,44
1252009 1:00,42
1252009 2:00,40
1252009 3:00,39
