Time,Load_kW,PV_kW
2023/1/1 0:00,3.224258427,0.003
2023/1/1 0:15,2.913133333,0.003
2023/1/1 0:30,1.321666667,0.003
2023/1/1 0:45,1.162266667,0.003
2023/1/1 1:00,1.392888889,0.003
2023/1/1 1:15,1.204722222,0.003
2023/1/1 1:30,1.144833333,0.003
2023/1/1 1:45,1.224133333,0.003
2023/1/1 2:00,1.358077778,0.003
2023/1/1 2:15,1.139466667,0.003
2023/1/1 2:30,1.134522222,0.003
2023/1/1 2:45,1.479244444,0.003
2023/1/1 3:00,1.185511111,0.003
2023/1/1 3:15,1.187811111,0.003
2023/1/1 3:30,1.531266667,0.003
2023/1/1 3:45,1.171966667,0.003
2023/1/1 4:00,1.210233333,0.003
2023/1/1 4:15,1.440477778,0.003
2023/1/1 4:30,1.302855556,0.003
2023/1/1 4:45,1.191766667,0.003
2023/1/1 5:00,1.389355556,0.002988889
2023/1/1 5:15,1.323577778,0.003
2023/1/1 5:30,1.205277778,0.003
2023/1/1 5:45,1.234433333,0.003
2023/1/1 6:00,1.369133333,0.003
2023/1/1 6:15,1.374666667,0.003
2023/1/1 6:30,1.233166667,0.003
2023/1/1 6:45,1.351588889,0.003
2023/1/1 7:00,1.4131,0.003
2023/1/1 7:15,1.240244444,0.003
2023/1/1 7:30,1.350833333,0.003
2023/1/1 7:45,1.8501,0.003
2023/1/1 8:00,1.359833333,0.003
2023/1/1 8:15,2.447366667,0.003
2023/1/1 8:30,4.599533333,0.003
2023/1/1 8:45,2.868244444,0.003
2023/1/1 9:00,1.535955556,0.003
2023/1/1 9:15,1.410311111,0.003
2023/1/1 9:30,2.064666667,0.003
2023/1/1 9:45,1.316522222,0.003488889
2023/1/1 10:00,1.298744444,0.005144444
2023/1/1 10:15,1.620077778,0.0055
2023/1/1 10:30,1.335266667,0.043277778
2023/1/1 10:45,1.392411111,0.090255556
2023/1/1 11:00,1.618788889,0.159511111
2023/1/1 11:15,1.332677778,0.280111111
2023/1/1 11:30,1.620477778,0.2583
2023/1/1 11:45,1.652622222,0.235711111
2023/1/1 12:00,4.0389,0.223544444
2023/1/1 12:15,2.775944444,0.204677778
2023/1/1 12:30,1.476522222,0.167466667
2023/1/1 12:45,1.504855556,0.185066667
2023/1/1 13:00,1.299711111,0.127588889
2023/1/1 13:15,1.319044444,0.113877778
2023/1/1 13:30,1.533166667,0.107988889
2023/1/1 13:45,1.258066667,0.081166667
2023/1/1 14:00,1.280577778,0.070433333
2023/1/1 14:15,1.589822222,0.105122222
2023/1/1 14:30,1.241522222,0.068122222
2023/1/1 14:45,1.306233333,0.024744444
2023/1/1 15:00,1.604744444,0.005244444
2023/1/1 15:15,1.557533333,0.004911111
2023/1/1 15:30,1.342655556,0.0026
2023/1/1 15:45,1.6541,0.002822222
2023/1/1 16:00,1.364088889,0.002888889
2023/1/1 16:15,1.387544444,0.003
2023/1/1 16:30,1.710722222,0.003
2023/1/1 16:45,1.317711111,0.003
2023/1/1 17:00,1.619177778,0.003
2023/1/1 17:15,1.496088889,0.003
2023/1/1 17:30,1.336411111,0.003
2023/1/1 17:45,1.683777778,0.003
2023/1/1 18:00,1.404311111,0.003
2023/1/1 18:15,1.365266667,0.003
2023/1/1 18:30,1.721722222,0.003
2023/1/1 18:45,1.380511111,0.003
2023/1/1 19:00,1.733255556,0.003
2023/1/1 19:15,1.445822222,0.003
2023/1/1 19:30,1.751677778,0.003
2023/1/1 19:45,2.014666667,0.003
2023/1/1 20:00,1.543933333,0.003
2023/1/1 20:15,1.711611111,0.003
2023/1/1 20:30,1.692877778,0.003
2023/1/1 20:45,1.337377778,0.003
2023/1/1 21:00,1.772155556,0.003
2023/1/1 21:15,1.3313,0.003
2023/1/1 21:30,1.289233333,0.003
2023/1/1 21:45,1.674277778,0.003
2023/1/1 22:00,1.304233333,0.003
2023/1/1 22:15,1.254644444,0.003
2023/1/1 22:30,1.658388889,0.003
2023/1/1 22:45,1.253488889,0.003
2023/1/1 23:00,1.358411111,0.003
2023/1/1 23:15,1.581122222,0.003
2023/1/1 23:30,1.262955556,0.003
2023/1/1 23:45,1.423222222,0.003
2023/1/2 0:00,1.509311111,0.003
2023/1/2 0:15,1.258222222,0.003
2023/1/2 0:30,1.591122222,0.003
2023/1/2 0:45,1.377877778,0.003
2023/1/2 1:00,1.274133333,0.003
2023/1/2 1:15,1.563077778,0.003
2023/1/2 1:30,1.288633333,0.003
2023/1/2 1:45,1.309922222,0.003
2023/1/2 2:00,1.614822222,0.003
2023/1/2 2:15,1.266044444,0.003
2023/1/2 2:30,1.3368,0.003
2023/1/2 2:45,1.593033333,0.003
2023/1/2 3:00,1.242233333,0.003
2023/1/2 3:15,1.345688889,0.003
2023/1/2 3:30,1.642488889,0.003
2023/1/2 3:45,1.405133333,0.003
2023/1/2 4:00,1.963844444,0.003
2023/1/2 4:15,1.883544444,0.003
2023/1/2 4:30,1.751,0.003
2023/1/2 4:45,1.494555556,0.003
2023/1/2 5:00,1.790855556,0.003
2023/1/2 5:15,1.362711111,0.003
2023/1/2 5:30,1.728333333,0.003
2023/1/2 5:45,1.617511111,0.003
2023/1/2 6:00,1.385844444,0.003
2023/1/2 6:15,1.901366667,0.003
2023/1/2 6:30,2.601911111,0.003
2023/1/2 6:45,3.0661,0.003
2023/1/2 7:00,3.223144444,0.003
2023/1/2 7:15,2.0155,0.003
2023/1/2 7:30,1.855222222,0.003
2023/1/2 7:45,1.795222222,0.002988889
2023/1/2 8:00,1.534522222,0.002877778
2023/1/2 8:15,1.817044444,0.002755556
2023/1/2 8:30,1.642577778,0.003
2023/1/2 8:45,2.315188889,0.002911111
